===2018-10-30 09:37:47.786 WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration Line:107 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
===2018-10-30 09:37:47.789 WARN  org.thymeleaf.templatemode.TemplateMode Line:150 - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
===2018-10-30 09:38:51.189 WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration Line:107 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
===2018-10-30 09:38:51.196 WARN  org.thymeleaf.templatemode.TemplateMode Line:150 - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
===2018-10-30 09:42:02.099 WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration Line:107 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
===2018-10-30 09:42:02.103 WARN  org.thymeleaf.templatemode.TemplateMode Line:150 - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
===2018-10-30 09:43:35.015 WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration Line:107 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
===2018-10-30 09:43:35.019 WARN  org.thymeleaf.templatemode.TemplateMode Line:150 - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
===2018-10-30 09:46:38.148 WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration Line:107 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
===2018-10-30 09:46:38.152 WARN  org.thymeleaf.templatemode.TemplateMode Line:150 - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
===2018-10-30 09:50:39.128 WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration Line:107 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
===2018-10-30 09:50:39.131 WARN  org.thymeleaf.templatemode.TemplateMode Line:150 - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
